"Variables ->","AT_epsgi","BE_epsgi","FI_epsgi","FR_epsgi","DE_epsgi","GR_epsgi","IT_epsgi","NL_epsgi","PT_epsgi","ES_epsgi","RA_epsgi"
"2021Y",0.00015,0.03072,0.00258,0.30519,0.00000,0.11269,0.05442,0.00000,0.03138,0.18009,0.01558
"2022Y",0.06877,0.08878,0.01389,0.33943,0.00000,0.43894,0.34750,0.00000,0.18681,0.29153,0.06818
"2023Y",0.13484,0.06032,0.04589,0.18686,0.00000,0.74061,0.50994,0.00000,0.45950,0.53186,0.12638
"2024Y",0.09787,0.11605,0.15294,0.13719,0.00000,1.30215,1.07611,0.00000,1.04284,0.79178,0.39619
"2025Y",0.07232,0.14418,0.16538,0.02386,0.00000,1.89467,1.47705,0.00000,1.75110,0.97240,0.48747
"2026Y",0.02979,0.12575,0.04748,0.09183,0.00000,2.72631,1.41466,0.00000,1.96523,1.02115,0.44658
"2027Y",0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.44871,0.04451
"2028Y",0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000
