,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Spain,39359.09528,41580.94943,45511.41692,49412.79763,51968.68052,65119.29223,72237.45203,77012.50394,65731.62094,66656.38871,77453.3642,88249.555,95297.35222,74165.32092,68103.84042,71302.56684,68755.09346,77461.75444,73860.89272,75649.91673,93016.45109,95674.09074,99790.15759,104098.8855,111433.5012,105958.1137
Portugal,6440.374512,7388.978625,8083.308045,8582.474601,9714.043899,12657.90416,13118.14622,12796.4639,9763.426112,9652.691454,9887.5438,10656.27354,11343.48091,10930.44215,10452.53068,11001.59677,11532.69994,11218.96393,14046.18898,13739.54418,16910.11555,16536.21798,16734.81943,17031.99212,18081.69279,17102.1342
