STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,CHAPTER,Chapter,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,COUNTERPART_AREA,Counterpart area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,CONSOLIDATION,Consolidation status,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,MATURITY,Original and residual maturity,PRODUCT,Product,PENSION_FUNDTYPE,Pension fund type,CURRENCY_DENOM,Currency of denomination,VALUATION,Valuation,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2018,,18.4894676699511,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2017,,18.9256183635506,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2016,,19.5283635503924,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2015,,19.7148321534597,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2014,,19.5030482621263,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2013,,18.8336928799933,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2012,,17.9475790755472,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2011,,17.0843135766867,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2010,,17.3141214050716,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2009,,17.183261342064,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2008,,14.6309194709992,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2007,,14.4767159024693,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2006,,15.3070964532196,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2024,,18.8354421240727,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FRA,France,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2022,,19.2071732126751,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FRA,France,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2021,,20.171629362965,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FRA,France,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2005,,17.5207685921329,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FRA,France,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2004,,17.423068122384,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FRA,France,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2003,,17.4318910631784,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
