"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"IMF.RES:WEO(6.0.0)","FRA.NGDPD.A","OBS_VALUE","France","Gross domestic product (GDP), Current prices, US dollar","Annual","1596.25","1599.248","1451.058","1498.974","1488.392","1361.56","1370.386","1491.373","1834.637","2108.835","2193.358","2317.985","2656.13","2926.483","2697.144","2648.391","2869.903","2684.706","2816.119","2861.973","2442.731","2469.726","2587.955","2782.838","2723.094","2645.806"
"IMF.RES:WEO(6.0.0)","GAB.NGDPD.A","OBS_VALUE","Gabon","Gross domestic product (GDP), Current prices, US dollar","Annual","5.281","6.064","5.673","4.774","4.966","5.397","5.023","5.332","6.51","7.767","9.468","10.164","12.457","15.57","12.188","14.384","18.207","17.181","17.596","18.209","14.385","14.02","14.924","16.83","16.875","15.364"
"IMF.RES:WEO(6.0.0)","DEU.NGDPD.A","OBS_VALUE","Germany","Gross domestic product (GDP), Current prices, US dollar","Annual","2595.269","2507.448","2221.504","2250.847","2216.072","1967.85","1966.395","2100.865","2534.081","2851.023","2894.992","3046.47","3484.467","3808.369","3476.022","3470.987","3824.155","3600.175","3808.142","3966.823","3423.915","3536.808","3761.764","4053.846","3957.645","3936.989"
"IMF.RES:WEO(6.0.0)","GRC.NGDPD.A","OBS_VALUE","Greece","Gross domestic product (GDP), Current prices, US dollar","Annual","136.941","145.872","143.327","144.644","149.412","132.198","136.31","154.455","202.319","240.854","248.012","273.561","318.94","355.87","330.949","297.368","282.946","242.183","238.911","235.519","195.703","193.095","199.774","212.146","205.275","188.329"
"IMF.RES:WEO(6.0.0)","GEO.NGDPD.A","OBS_VALUE","Georgia","Gross domestic product (GDP), Current prices, US dollar","Annual","1.961","3.148","3.608","3.73","2.898","3.144","3.311","3.493","4.103","5.269","6.59","7.979","10.458","13.158","11.069","12.425","15.475","16.894","17.516","17.966","15.223","15.445","16.472","17.905","17.645","16.013"
"IMF.RES:WEO(6.0.0)","GIN.NGDPD.A","OBS_VALUE","Guinea","Gross domestic product (GDP), Current prices, US dollar","Annual","5.139","5.316","5.212","5.003","4.798","4.039","3.806","4.022","4.759","5.012","4.506","4.178","6.317","6.966","6.753","6.858","6.775","7.387","8.376","8.777","8.79","8.604","10.325","11.857","13.443","14.089"
"IMF.RES:WEO(6.0.0)","GMB.NGDPD.A","OBS_VALUE","Gambia, The","Gross domestic product (GDP), Current prices, US dollar","Annual","0.909","0.949","0.983","1.009","1.036","1.01","1.002","0.887","0.843","0.962","1.028","1.054","1.28","1.562","1.45","1.543","1.41","1.415","1.376","1.229","1.355","1.47","1.498","1.662","1.806","1.809"
"IMF.RES:WEO(6.0.0)","GRD.NGDPD.A","OBS_VALUE","Grenada","Gross domestic product (GDP), Current prices, US dollar","Annual","0.342","0.367","0.392","0.446","0.482","0.52","0.52","0.54","0.591","0.599","0.695","0.699","0.759","0.826","0.771","0.771","0.779","0.8","0.843","0.911","0.997","1.062","1.126","1.167","1.213","1.043"
"IMF.RES:WEO(6.0.0)","GHA.NGDPD.A","OBS_VALUE","Ghana","Gross domestic product (GDP), Current prices, US dollar","Annual","14.61","15.482","15.794","17.166","17.766","11.47","12.234","14.205","17.528","20.302","24.6","28.883","34.044","38.659","34.601","43.327","53.849","56.854","63.702","54.417","49.437","56.144","60.385","67.274","68.352","70.005"
"IMF.RES:WEO(6.0.0)","GNB.NGDPD.A","OBS_VALUE","Guinea-Bissau","Gross domestic product (GDP), Current prices, US dollar","Annual","0.778","0.741","0.704","0.592","0.58","0.392","0.413","0.466","0.553","0.582","0.64","0.635","0.753","0.953","0.889","0.941","1.157","1.05","1.11","1.136","1.153","1.245","1.469","1.555","1.487","1.523"
"IMF.RES:WEO(6.0.0)","HTI.NGDPD.A","OBS_VALUE","Haiti","Gross domestic product (GDP), Current prices, US dollar","Annual","4.846","5.0","5.748","6.408","7.148","6.81","6.285","6.064","4.866","6.037","7.186","7.507","9.522","10.488","11.598","11.852","13.009","13.709","14.904","15.137","14.831","13.996","15.036","16.454","14.787","14.508"
"IMF.RES:WEO(6.0.0)","GUY.NGDPD.A","OBS_VALUE","Guyana","Gross domestic product (GDP), Current prices, US dollar","Annual","1.332","1.495","1.587","1.5","1.488","1.497","1.504","1.555","1.592","1.657","1.712","1.899","2.225","2.491","2.596","2.889","3.328","4.063","4.168","4.128","4.28","4.483","4.748","4.788","5.174","5.471"
"IMF.RES:WEO(6.0.0)","GTM.NGDPD.A","OBS_VALUE","Guatemala","Gross domestic product (GDP), Current prices, US dollar","Annual","14.05","14.992","16.982","18.461","17.422","18.124","19.735","21.924","23.092","24.977","28.179","31.308","35.028","40.242","37.997","41.493","47.419","49.902","52.989","57.835","62.18","66.034","71.624","73.331","77.156","77.718"
"IMF.RES:WEO(6.0.0)","HND.NGDPD.A","OBS_VALUE","Honduras","Gross domestic product (GDP), Current prices, US dollar","Annual","5.415","5.217","5.736","6.366","6.417","7.104","7.568","7.775","8.139","8.769","9.672","10.843","12.276","13.789","14.486","15.73","17.59","18.399","18.37","19.617","20.834","21.564","22.982","23.907","24.711","23.19"
"IMF.RES:WEO(6.0.0)","ITA.NGDPD.A","OBS_VALUE","Italy","Gross domestic product (GDP), Current prices, US dollar","Annual","1177.985","1315.136","1246.34","1274.382","1256.252","1150.169","1172.049","1280.84","1582.534","1811.987","1866.013","1958.667","2222.785","2417.242","2207.087","2146.687","2306.568","2099.259","2153.259","2173.816","1845.616","1886.59","1970.027","2100.387","2019.83","1905.954"
"IMF.RES:WEO(6.0.0)","HKG.NGDPD.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Current prices, US dollar","Annual","144.652","159.718","177.349","168.858","165.734","171.643","169.381","166.336","161.37","169.085","181.556","193.515","211.583","219.279","214.048","228.639","248.514","262.629","275.697","291.46","309.386","320.86","341.271","361.731","363.075","344.941"
"IMF.RES:WEO(6.0.0)","HUN.NGDPD.A","OBS_VALUE","Hungary","Gross domestic product (GDP), Current prices, US dollar","Annual","46.426","46.659","47.297","48.707","49.073","47.218","53.75","67.609","85.285","104.121","113.211","115.716","140.187","158.326","131.069","132.175","141.942","128.814","135.684","141.034","125.174","128.61","143.112","160.566","164.011","157.289"
"IMF.RES:WEO(6.0.0)","IRQ.NGDPD.A","OBS_VALUE","Iraq","Gross domestic product (GDP), Current prices, US dollar","Annual","","","","","","25.984","21.113","21.063","15.8","36.642","50.065","65.144","88.833","131.614","111.66","138.517","185.75","218.032","234.638","234.651","177.634","168.429","190.048","230.189","236.682","182.576"
"IMF.RES:WEO(6.0.0)","IRN.NGDPD.A","OBS_VALUE","Iran, Islamic Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","114.941","158.032","184.138","205.0","275.092","366.917","330.978","132.682","158.416","188.961","228.428","272.361","360.928","425.699","440.408","517.899","625.43","421.882","428.321","460.809","408.288","458.042","486.829","332.846","241.658","195.528"
"IMF.RES:WEO(6.0.0)","ISL.NGDPD.A","OBS_VALUE","Iceland","Gross domestic product (GDP), Current prices, US dollar","Annual","7.124","7.426","7.57","8.504","8.982","9.026","8.235","9.318","11.429","13.825","16.853","17.465","21.653","18.075","13.154","13.751","15.222","14.752","16.125","17.868","17.517","20.793","24.728","26.261","24.681","21.63"
"IMF.RES:WEO(6.0.0)","IDN.NGDPD.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Current prices, US dollar","Annual","244.227","274.722","260.68","115.323","169.158","179.482","174.507","212.807","255.346","279.344","310.92","396.518","470.092","558.291","578.577","755.094","892.969","917.87","912.524","890.815","860.854","931.877","1015.619","1042.272","1119.1","1059.055"
"IMF.RES:WEO(6.0.0)","IND.NGDPD.A","OBS_VALUE","India","Gross domestic product (GDP), Current prices, US dollar","Annual","360.281","392.902","415.895","421.378","458.821","468.396","485.44","514.938","607.701","709.152","820.385","940.26","1216.736","1198.895","1341.889","1675.615","1823.052","1827.637","1856.721","2039.127","2103.588","2294.797","2651.474","2702.93","2835.606","2674.852"
"IMF.RES:WEO(6.0.0)","JAM.NGDPD.A","OBS_VALUE","Jamaica","Gross domestic product (GDP), Current prices, US dollar","Annual","6.549","7.394","8.4","8.787","8.887","9.065","9.195","9.719","9.43","10.175","11.233","11.946","12.881","13.743","12.107","13.193","14.413","14.765","14.213","13.865","14.154","14.108","14.755","15.648","15.808","13.885"
"IMF.RES:WEO(6.0.0)","KIR.NGDPD.A","OBS_VALUE","Kiribati","Gross domestic product (GDP), Current prices, US dollar","Annual","0.069","0.081","0.08","0.075","0.077","0.075","0.065","0.075","0.097","0.104","0.114","0.112","0.138","0.15","0.142","0.166","0.196","0.207","0.202","0.201","0.192","0.207","0.223","0.234","0.217","0.224"
"IMF.RES:WEO(6.0.0)","IRL.NGDPD.A","OBS_VALUE","Ireland","Gross domestic product (GDP), Current prices, US dollar","Annual","69.26","75.928","82.957","90.305","98.993","100.253","109.347","128.505","164.63","194.283","211.993","232.193","270.112","275.417","236.187","222.167","241.295","227.415","243.305","266.857","302.422","305.649","348.411","395.641","407.17","436.205"
"IMF.RES:WEO(6.0.0)","ISR.NGDPD.A","OBS_VALUE","Israel","Gross domestic product (GDP), Current prices, US dollar","Annual","105.553","115.181","119.516","120.586","121.425","136.516","134.99","125.339","131.544","140.162","147.442","159.076","184.706","221.231","213.401","239.679","268.095","263.59","298.469","315.019","303.47","321.942","358.459","376.309","400.941","413.196"
"IMF.RES:WEO(6.0.0)","JPN.NGDPD.A","OBS_VALUE","Japan","Gross domestic product (GDP), Current prices, US dollar","Annual","5545.566","4923.393","4492.449","4098.363","4635.982","4968.36","4374.71","4182.845","4519.564","4893.135","4831.467","4601.663","4579.75","5106.679","5289.494","5759.072","6233.148","6272.362","5212.328","4896.995","4444.931","5003.678","4930.837","5040.881","5117.995","5054.094"
"IMF.RES:WEO(6.0.0)","KAZ.NGDPD.A","OBS_VALUE","Kazakhstan, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","16.639","21.035","22.166","22.135","16.87","18.292","22.153","24.637","30.834","43.152","57.125","81.003","104.85","133.442","115.309","148.047","192.626","207.999","236.635","221.416","184.388","137.289","166.806","179.34","181.667","171.082"
"IMF.RES:WEO(6.0.0)","JOR.NGDPD.A","OBS_VALUE","Jordan","Gross domestic product (GDP), Current prices, US dollar","Annual","6.759","7.054","7.389","8.163","8.414","8.725","9.268","9.972","10.575","11.771","13.134","15.795","17.957","22.648","24.538","27.134","29.524","31.679","34.503","36.9","38.642","39.949","41.667","43.432","44.566","43.762"
"IMF.RES:WEO(6.0.0)","KOR.NGDPD.A","OBS_VALUE","Korea, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","587.059","632.201","591.202","396.682","515.213","597.802","567.655","649.747","728.497","822.583","971.54","1094.545","1220.756","1093.487","982.854","1192.722","1307.239","1335.344","1434.67","1556.252","1539.212","1578.816","1710.197","1824.251","1751.046","1744.456"
"IMF.RES:WEO(6.0.0)","KWT.NGDPD.A","OBS_VALUE","Kuwait","Gross domestic product (GDP), Current prices, US dollar","Annual","27.186","31.491","30.35","25.941","30.126","37.714","34.906","38.129","47.869","59.439","80.799","101.548","114.608","147.391","105.992","115.401","154.02","174.066","174.179","162.695","114.606","109.399","120.688","138.655","140.855","111.048"
"IMF.RES:WEO(6.0.0)","KEN.NGDPD.A","OBS_VALUE","Kenya","Gross domestic product (GDP), Current prices, US dollar","Annual","15.905","18.064","18.3","20.63","18.594","18.206","18.697","19.03","21.391","22.79","26.307","29.668","36.708","41.058","42.347","45.406","46.555","56.407","61.703","68.395","70.37","74.816","81.965","92.211","100.328","100.912"
"IMF.RES:WEO(6.0.0)","KGZ.NGDPD.A","OBS_VALUE","Kyrgyz Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","1.493","1.822","1.767","1.63","1.242","1.368","1.525","1.606","1.92","2.214","2.459","2.837","3.807","5.139","4.69","4.794","6.198","6.604","7.335","7.467","6.678","6.813","7.703","8.271","9.372","8.283"
"IMF.RES:WEO(6.0.0)","LAO.NGDPD.A","OBS_VALUE","Lao People's Democratic Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","3.579","3.726","3.515","1.334","1.415","1.72","1.757","1.844","2.26","2.651","3.079","3.934","4.757","5.946","6.431","7.506","8.964","10.194","11.972","13.266","14.418","15.904","17.055","18.131","18.77","18.511"
"IMF.RES:WEO(6.0.0)","LVA.NGDPD.A","OBS_VALUE","Latvia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","5.411","5.975","6.529","7.169","7.535","7.963","8.363","9.564","11.777","14.44","17.03","21.589","31.1","36.023","26.48","23.998","27.74","28.191","30.21","31.395","27.266","28.076","30.473","34.445","34.229","34.363"
"IMF.RES:WEO(6.0.0)","KOS.NGDPD.A","OBS_VALUE","Kosovo, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","","","","","","2.217","2.509","2.73","3.39","3.71","3.828","4.019","4.868","5.202","5.03","5.348","6.34","6.167","6.735","7.076","6.296","6.681","7.178","7.882","7.9","7.728"
"IMF.RES:WEO(6.0.0)","LBR.NGDPD.A","OBS_VALUE","Liberia","Gross domestic product (GDP), Current prices, US dollar","Annual","","","","","","0.863","0.904","0.943","0.714","0.897","0.944","1.109","1.344","1.676","1.765","1.966","2.34","2.675","3.044","3.09","3.092","3.256","3.321","3.264","3.08","3.037"
"IMF.RES:WEO(6.0.0)","LBN.NGDPD.A","OBS_VALUE","Lebanon","Gross domestic product (GDP), Current prices, US dollar","Annual","10.971","12.824","15.535","17.059","17.174","17.018","17.361","18.837","19.486","21.16","21.497","22.023","24.827","29.119","35.4","38.444","39.927","44.017","46.88","48.095","49.929","51.15","53.03","54.9","50.928","24.976"
"IMF.RES:WEO(6.0.0)","LSO.NGDPD.A","OBS_VALUE","Lesotho, Kingdom of","Gross domestic product (GDP), Current prices, US dollar","Annual","1.032","0.977","1.027","0.949","0.937","0.922","0.774","0.856","1.256","1.598","1.73","1.72","1.759","1.652","1.937","2.356","2.571","2.465","2.345","2.477","2.202","2.206","2.424","2.472","2.323","2.092"
"IMF.RES:WEO(6.0.0)","MWI.NGDPD.A","OBS_VALUE","Malawi","Gross domestic product (GDP), Current prices, US dollar","Annual","3.412","5.569","6.504","4.275","4.336","4.257","4.178","4.922","4.521","4.895","5.148","5.63","6.24","7.492","8.723","9.796","11.241","8.421","7.648","8.526","9.014","7.733","8.943","9.882","11.031","11.847"
"IMF.RES:WEO(6.0.0)","MAC.NGDPD.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Current prices, US dollar","Annual","","","","","","","6.86","7.372","8.247","10.643","12.16","14.874","18.44","21.027","21.588","28.242","36.844","43.19","51.536","54.903","45.048","45.071","50.384","55.191","55.082","25.344"
"IMF.RES:WEO(6.0.0)","MDG.NGDPD.A","OBS_VALUE","Madagascar, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","3.838","4.932","4.263","4.402","4.278","4.629","5.438","5.352","6.372","5.065","5.859","6.396","8.525","10.725","9.617","9.983","11.552","11.579","12.424","12.523","11.323","11.849","13.176","13.76","14.105","13.051"
"IMF.RES:WEO(6.0.0)","LUX.NGDPD.A","OBS_VALUE","Luxembourg","Gross domestic product (GDP), Current prices, US dollar","Annual","20.571","20.464","18.428","19.263","21.089","21.24","21.388","23.633","29.66","35.049","37.693","42.912","51.593","58.838","54.408","56.26","61.685","59.814","65.204","68.823","60.078","62.2","65.689","71.033","69.898","73.64"
"IMF.RES:WEO(6.0.0)","LTU.NGDPD.A","OBS_VALUE","Lithuania, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","6.691","8.376","10.114","11.236","10.969","11.509","12.238","14.261","18.776","22.58","26.115","30.214","39.773","47.931","37.484","37.188","43.597","42.888","46.579","48.619","41.431","43.058","47.706","53.777","54.831","56.873"
"IMF.RES:WEO(6.0.0)","LBY.NGDPD.A","OBS_VALUE","Libya","Gross domestic product (GDP), Current prices, US dollar","Annual","33.739","36.827","37.702","30.921","37.129","39.498","35.206","21.128","27.026","34.054","48.852","60.094","68.211","86.804","60.767","75.381","48.17","92.542","75.355","57.384","48.718","49.913","67.153","76.682","69.237","46.893"
"IMF.RES:WEO(6.0.0)","MYS.NGDPD.A","OBS_VALUE","Malaysia","Gross domestic product (GDP), Current prices, US dollar","Annual","96.606","109.846","109.116","78.639","86.203","102.149","101.054","109.833","120.025","135.869","150.345","170.41","202.732","241.946","211.847","258.64","302.184","318.909","327.869","342.868","301.355","301.256","319.109","358.783","365.178","337.456"
"IMF.RES:WEO(6.0.0)","MLI.NGDPD.A","OBS_VALUE","Mali","Gross domestic product (GDP), Current prices, US dollar","Annual","3.337","3.416","3.208","3.328","3.444","2.963","3.468","3.905","4.713","5.452","6.251","6.906","8.157","9.871","10.249","10.698","12.993","12.45","13.243","14.369","13.106","14.022","15.36","17.079","17.281","17.643"
"IMF.RES:WEO(6.0.0)","MDV.NGDPD.A","OBS_VALUE","Maldives","Gross domestic product (GDP), Current prices, US dollar","Annual","0.466","0.527","0.652","0.693","0.756","0.801","0.767","0.828","1.052","1.227","1.163","1.575","1.868","2.272","2.345","2.588","2.629","2.885","3.286","3.69","4.118","4.398","4.809","5.398","5.716","3.706"
"IMF.RES:WEO(6.0.0)","MEX.NGDPD.A","OBS_VALUE","Mexico","Gross domestic product (GDP), Current prices, US dollar","Annual","380.182","432.158","523.45","557.485","631.24","742.061","796.055","810.666","765.55","819.459","917.572","1020.265","1102.356","1161.553","943.437","1105.424","1229.014","1255.11","1327.436","1364.508","1213.294","1112.233","1190.721","1256.3","1305.2","1120.832"
"IMF.RES:WEO(6.0.0)","MLT.NGDPD.A","OBS_VALUE","Malta","Gross domestic product (GDP), Current prices, US dollar","Annual","3.565","3.635","3.68","3.898","4.068","4.298","4.339","4.684","5.465","6.128","6.383","6.783","7.972","9.171","8.76","9.104","9.788","9.616","10.797","11.891","11.342","12.022","14.156","16.161","16.34","16.373"
"IMF.RES:WEO(6.0.0)","MRT.NGDPD.A","OBS_VALUE","Mauritania, Islamic Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","2.092","2.132","2.072","2.027","1.986","1.78","1.746","1.777","2.051","2.362","2.936","4.009","4.328","5.138","4.725","5.637","6.782","6.721","7.331","6.615","6.182","6.414","6.826","7.472","7.894","8.464"
"IMF.RES:WEO(6.0.0)","MHL.NGDPD.A","OBS_VALUE","Marshall Islands, Republic of the","Gross domestic product (GDP), Current prices, US dollar","Annual","","","0.11","0.112","0.113","0.115","0.123","0.132","0.131","0.133","0.138","0.143","0.15","0.147","0.151","0.161","0.172","0.181","0.186","0.186","0.184","0.202","0.214","0.22","0.233","0.242"
"IMF.RES:WEO(6.0.0)","MNG.NGDPD.A","OBS_VALUE","Mongolia","Gross domestic product (GDP), Current prices, US dollar","Annual","1.452","1.348","1.181","1.125","1.057","1.137","1.268","1.397","1.595","1.992","2.523","3.414","4.235","5.623","4.584","7.185","10.41","12.278","12.582","12.227","11.62","11.154","11.481","13.207","14.206","13.313"
"IMF.RES:WEO(6.0.0)","MNE.NGDPD.A","OBS_VALUE","Montenegro","Gross domestic product (GDP), Current prices, US dollar","Annual","","","","","","0.966","1.15","1.269","1.681","2.073","2.261","2.724","3.686","4.564","4.171","4.146","4.544","4.09","4.466","4.595","4.055","4.376","4.855","5.509","5.543","4.777"
"IMF.RES:WEO(6.0.0)","MUS.NGDPD.A","OBS_VALUE","Mauritius","Gross domestic product (GDP), Current prices, US dollar","Annual","4.439","4.59","4.31","4.354","4.597","4.935","4.882","5.123","6.155","6.962","6.867","7.123","8.26","10.125","9.252","10.138","11.673","11.826","12.293","13.074","12.007","12.594","13.714","14.736","14.436","11.408"
"IMF.RES:WEO(6.0.0)","FSM.NGDPD.A","OBS_VALUE","Micronesia, Federated States of","Gross domestic product (GDP), Current prices, US dollar","Annual","0.22","0.217","0.204","0.217","0.217","0.23","0.236","0.238","0.241","0.236","0.246","0.249","0.252","0.258","0.275","0.291","0.307","0.323","0.313","0.314","0.31","0.325","0.359","0.392","0.394","0.372"
"IMF.RES:WEO(6.0.0)","MAR.NGDPD.A","OBS_VALUE","Morocco","Gross domestic product (GDP), Current prices, US dollar","Annual","42.238","46.71","42.366","45.243","45.055","42.053","42.704","45.711","56.345","64.528","67.468","74.284","85.539","100.112","100.535","100.881","109.705","106.345","115.608","119.131","110.414","111.573","118.541","127.341","128.92","121.354"
"IMF.RES:WEO(6.0.0)","MMR.NGDPD.A","OBS_VALUE","Myanmar","Gross domestic product (GDP), Current prices, US dollar","Annual","","","","4.838","6.044","7.261","6.693","6.496","8.336","10.095","11.382","12.752","16.76","23.907","28.971","35.748","50.292","55.131","59.176","63.153","62.655","60.09","61.267","66.699","68.802","77.801"
"IMF.RES:WEO(6.0.0)","MOZ.NGDPD.A","OBS_VALUE","Mozambique, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","3.062","4.03","4.874","5.551","6.285","5.931","5.65","5.951","6.584","7.937","8.868","9.51","10.811","12.92","12.264","11.412","14.619","16.688","17.198","17.978","16.209","12.069","13.265","15.017","15.513","14.235"
"IMF.RES:WEO(6.0.0)","MDA.NGDPD.A","OBS_VALUE","Moldova, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","1.441","1.694","1.928","1.697","1.172","1.315","1.481","1.662","1.981","2.598","2.988","3.408","4.401","6.055","5.438","6.977","8.417","8.708","9.496","9.51","7.726","8.072","9.515","11.252","11.737","11.53"
"IMF.RES:WEO(6.0.0)","NLD.NGDPD.A","OBS_VALUE","Netherlands, The","Gross domestic product (GDP), Current prices, US dollar","Annual","453.377","451.508","418.023","439.215","448.223","417.834","432.539","475.194","582.29","660.925","688.514","737.633","853.6","957.797","878.0","853.161","912.98","846.225","883.964","901.789","775.822","796.944","847.934","930.155","929.006","931.814"
"IMF.RES:WEO(6.0.0)","NPL.NGDPD.A","OBS_VALUE","Nepal","Gross domestic product (GDP), Current prices, US dollar","Annual","5.379","5.544","6.027","5.992","6.164","6.537","6.719","6.816","7.218","8.297","9.331","10.316","11.777","14.31","14.663","18.253","21.685","21.703","22.162","22.722","24.361","24.524","28.972","33.112","34.186","33.434"
"IMF.RES:WEO(6.0.0)","NAM.NGDPD.A","OBS_VALUE","Namibia","Gross domestic product (GDP), Current prices, US dollar","Annual","3.948","3.954","4.11","3.832","3.824","3.941","3.577","3.396","4.974","6.673","7.324","7.711","8.73","8.496","8.915","11.281","12.423","13.016","12.168","12.434","11.45","10.719","12.883","13.676","12.539","10.583"
"IMF.RES:WEO(6.0.0)","NRU.NGDPD.A","OBS_VALUE","Nauru, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","","","","","","","","","","0.031","0.03","0.029","0.023","0.037","0.044","0.048","0.066","0.101","0.094","0.099","0.085","0.097","0.109","0.131","0.125","0.125"
"IMF.RES:WEO(6.0.0)","NER.NGDPD.A","OBS_VALUE","Niger","Gross domestic product (GDP), Current prices, US dollar","Annual","2.296","2.397","2.285","2.639","2.532","2.235","2.442","2.772","3.382","3.746","4.372","4.743","5.716","7.279","7.324","7.838","8.754","9.412","10.206","10.83","9.684","10.35","11.181","12.814","12.917","13.764"
"IMF.RES:WEO(6.0.0)","NZL.NGDPD.A","OBS_VALUE","New Zealand","Gross domestic product (GDP), Current prices, US dollar","Annual","62.24","69.101","68.869","56.815","58.898","54.127","53.129","62.061","82.408","101.599","113.266","109.738","134.876","135.373","121.701","145.36","166.949","175.033","187.132","200.153","176.326","185.901","203.626","209.601","210.761","210.271"
"IMF.RES:WEO(6.0.0)","NIC.NGDPD.A","OBS_VALUE","Nicaragua","Gross domestic product (GDP), Current prices, US dollar","Annual","4.14","4.308","4.39","4.635","4.856","5.109","5.335","5.224","5.322","5.793","6.321","6.764","7.423","8.497","8.297","8.759","9.774","10.532","10.983","11.88","12.757","13.286","13.786","13.025","12.713","12.682"
"IMF.RES:WEO(6.0.0)","OMN.NGDPD.A","OBS_VALUE","Oman","Gross domestic product (GDP), Current prices, US dollar","Annual","15.821","17.512","18.154","16.044","17.833","22.259","22.206","23.066","24.734","28.379","35.507","42.578","48.3","69.805","55.454","64.994","77.497","87.409","89.936","92.699","78.711","75.129","80.857","91.506","88.061","75.909"
"IMF.RES:WEO(6.0.0)","MKD.NGDPD.A","OBS_VALUE","North Macedonia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","4.687","4.643","3.928","3.764","3.867","3.774","3.709","3.991","4.946","5.684","6.257","6.86","8.337","9.912","9.4","9.415","10.499","9.751","10.824","11.378","10.067","10.686","11.336","12.694","12.609","12.385"
"IMF.RES:WEO(6.0.0)","NOR.NGDPD.A","OBS_VALUE","Norway","Gross domestic product (GDP), Current prices, US dollar","Annual","152.031","163.52","161.357","154.23","162.384","171.456","174.24","195.915","229.385","265.267","309.979","346.914","402.646","464.915","387.974","431.052","501.361","512.777","526.014","501.737","388.16","370.957","401.745","439.788","408.743","367.633"
"IMF.RES:WEO(6.0.0)","NGA.NGDPD.A","OBS_VALUE","Nigeria","Gross domestic product (GDP), Current prices, US dollar","Annual","132.23","172.686","187.866","209.677","57.477","67.824","73.128","93.983","102.935","130.345","169.645","222.791","262.215","330.26","297.458","369.062","414.095","460.952","514.966","568.499","492.437","404.649","375.745","421.737","474.498","432.716"
"IMF.RES:WEO(6.0.0)","PAN.NGDPD.A","OBS_VALUE","Panama","Gross domestic product (GDP), Current prices, US dollar","Annual","8.825","10.406","11.245","12.191","12.775","12.958","13.166","13.685","14.422","15.811","17.244","19.109","22.072","26.072","28.104","30.513","35.95","41.902","47.261","51.74","56.062","60.017","64.468","67.294","69.722","57.087"
"IMF.RES:WEO(6.0.0)","PAK.NGDPD.A","OBS_VALUE","Pakistan","Gross domestic product (GDP), Current prices, US dollar","Annual","98.917","103.296","101.848","101.381","96.008","99.421","96.784","98.169","112.507","132.206","145.209","161.871","184.141","202.204","187.074","196.712","230.577","250.094","258.674","271.422","299.93","313.623","339.229","356.163","321.071","300.41"
"IMF.RES:WEO(6.0.0)","PLW.NGDPD.A","OBS_VALUE","Palau, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","","","","","","0.15","0.159","0.163","0.155","0.166","0.186","0.191","0.196","0.199","0.184","0.184","0.195","0.215","0.226","0.245","0.283","0.303","0.29","0.288","0.282","0.259"
"IMF.RES:WEO(6.0.0)","POL.NGDPD.A","OBS_VALUE","Poland, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","139.363","156.993","157.493","172.389","168.13","171.613","190.805","199.07","217.829","255.292","306.304","344.627","429.021","533.6","439.794","475.697","524.374","495.23","515.762","539.212","476.788","469.65","524.78","588.804","595.968","599.458"
"IMF.RES:WEO(6.0.0)","PHL.NGDPD.A","OBS_VALUE","Philippines","Gross domestic product (GDP), Current prices, US dollar","Annual","84.644","94.65","94.106","74.492","85.64","83.667","78.921","84.307","87.039","95.002","107.42","127.653","155.98","181.007","176.132","208.369","234.217","261.92","283.903","297.484","306.446","318.627","328.481","346.842","376.823","361.751"
"IMF.RES:WEO(6.0.0)","PNG.NGDPD.A","OBS_VALUE","Papua New Guinea","Gross domestic product (GDP), Current prices, US dollar","Annual","7.149","7.608","7.272","5.558","5.072","5.169","4.531","4.387","5.488","6.279","7.339","8.355","9.545","11.671","11.619","14.251","17.985","21.295","21.261","23.211","21.723","20.759","22.743","24.11","24.751","23.848"
