,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,8420,9412,12905,15003,15205,17927,18033,21541,22437,23516,34798,39911,47492,28395,20666,16421,16061,19806,18549,18286,21349,22155,22875,26399,22586,19831
Refresh,2223,2733,3351,3615,4370,4976,4652,4935,3862,4563,4458,5140,6478,6559,4830,5105,5642,4872,5713,5043,5685,5765,6300,6861,6947,5713
