"Country Name","Country Code","Indicator Name","Indicator Code","Unit Name","Unit Code",Attribute,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
"Togo","742","General government investment (gross fixed capital formation)","IGOV","Percent of GDP","rpppgdp","Value","3.53922803496332","3.17608169495796","2.31851053337255","4.70567537239353","4.1651811972773","3.60523136795272","2.90111699481126","1.85095326863391","1.74217975039929","2.26924831359304","3.54668903053443","4.19392059148959","1.94005621941536","2.48973704224245","4.47027181688857","5.86804510445043","7.22238102734821","4.52814537658259","4.00021253597826","4.74245391418943","5.57751620773682","6.19413427399324","3.45435998650698","3.42285517798394","3.19085024784091",
"Togo","742","Private investment (gross fixed capital formation)","IPRIV","Percent of GDP","rpppgdp","Value","5.8906151409242","6.08155198077768","5.74826139806073","7.00682434720401","4.15135936155759","7.41604291327257","8.483670371051","9.51810185931902","9.84151094762535","8.51690824960737","8.68770326002655","8.80364517975723","9.70520858515349","9.85713201470979","9.15705538775158","8.22377739685068","9.64042209244112","10.3055121529031","10.9310973644502","10.3644401559684","9.76933676586955","9.54839315308289","8.32999600365715","8.71411062360302","8.6222301058031",
"Tunisia","744","Private investment (gross fixed capital formation)","IPRIV","Percent of GDP","rpppgdp","Value","9.55503843977741","8.79782684906733","9.48176367054716","9.53899292039621","9.6128278688792","9.48487031587629","9.77414985308","9.52145844713907","8.83515849348799","8.39385272486194","8.49567685529354","9.10812148255764","9.22810038466337","9.19173162687551","8.89922946653382","9.01254394117324","7.36184864211443","7.85192718952322","8.41867495406729","8.08335177384997","7.73206992709809","7.30337594426557","7.00328524878789","6.88234792002841","6.55125175752982",
"Turkey","186","Private investment (gross fixed capital formation)","IPRIV","Percent of GDP","rpppgdp","Value","22.2162513700583","21.5922905488874","20.8836907065188","21.0676539498215","22.6494499255734","22.0281598065331","24.3069379783935","23.7480105583302","23.3520983890678","22.1193828701331","21.1062191223338","20.5244360034956","20.32054181495","20.9625145189417","18.3755454616975","21.6206412282701","24.934356409382","24.3505813037711","25.2478445883737","25.7101017016942","26.4597300546135","25.9737912522136","25.8200029802313","25.0080873392848","21.7064239272051",
"Uganda","746","General government investment (gross fixed capital formation)","IGOV","Percent of GDP","rpppgdp","Value","1.84417797338548","1.55248667099637","1.66856140115382","1.91962183070704","1.92047691309808","1.42552654630168","1.38396167858329","1.41708794256409","1.47720287812544","1.58940987606272","1.73618201188862","1.79946072489548","1.91640889675929","1.81196199218224","1.8807393754121","1.92738029238356","2.29189118175052","2.43274823083172","2.60330578071065","3.23888679491383","3.6975896107704","3.49665863448487","3.5877133483631","4.16436001791868","4.37939489635204",
"United Arab Emirates","466","General government investment (gross fixed capital formation)","IGOV","Percent of GDP","rpppgdp","Value","9.59511156848727","10.6411675118634","10.9200061979534","12.3090584500308","10.9074975632566","8.73728671051125","9.71546582012421","9.95752179926061","9.95538587144942","9.63520671762375","9.44472762843778","9.83373291806464","10.4626339735367","13.5521453687221","17.585177051484","14.0170434177117","13.1269023435458","12.6794043130496","12.9947409730749","14.0331205478657","14.1829048206236","14.7765085474643","15.4141562273704","16.6178702270551","13.9964653925962",
"United Arab Emirates","466","Private investment (gross fixed capital formation)","IPRIV","Percent of GDP","rpppgdp","Value","15.6717654571307","14.4221826022873","13.6336574620669","12.3083446998403","13.4587738298615","14.301238632036","13.2995967150323","13.8148164419714","13.5438698505811","12.3717267172385","14.7078456603739","15.4288964535475","24.6191056594675","20.5697655646183","21.6854748108959","20.9240607814687","19.5059441989477","18.8828550493675","15.3407200494777","16.0959127674504","15.719655009432","16.8021918609986","10.1053644418014","9.51050205165778","11.7063944847711",
"United Kingdom","112","General government investment (gross fixed capital formation)","IGOV","Percent of GDP","rpppgdp","Value","2.85996850646488","2.01156450197581","1.72720642066501","1.81975614727715","1.80121969276888","1.72476736442494","1.92316528376854","2.03192809552785","2.1959527262902","2.50462373865312","1.48898593301982","2.47201992936691","2.45374142870376","2.90239101154105","3.28586962212428","3.27320252519521","3.0420668339972","2.77421074829133","2.61214591495356","2.74709037097356","2.64610540549489","2.61571698133835","2.6686436490136","2.6732129715606","2.74563231504934",
"United States","111","General government investment (gross fixed capital formation)","IGOV","Percent of GDP","rpppgdp","Value","4.01568015202101","4.02174617237482","3.93911713258855","3.89987148472936","4.00049814069892","3.97913516378048","4.13161768868099","4.26690613918564","4.28538348213825","4.19248744579438","4.06879296642065","4.07530693129354","4.10164826445525","4.22358272804791","4.38234535002353","4.25426862087044","4.03747293582508","3.77186904404185","3.53463230249503","3.39842999873587","3.38913088637184","3.40192663222647","3.39912942037013","3.39602675941156","3.46886501752044",
"United States","111","Private investment (gross fixed capital formation)","IPRIV","Percent of GDP","rpppgdp","Value","13.9966124918388","14.6643188971094","15.2360584423969","16.1584920623863","16.7416921368974","17.2152536111802","16.7644865918645","15.9232101699264","16.174759252734","16.7001111929541","17.3377061561329","17.2936006824728","16.7522821975939","15.7806395314111","13.5724008346449","13.6424445875585","14.3924632182495","15.4908635937804","16.0546253170493","16.689020852613","16.8105609861743","16.8230411446528","17.064133781251","17.4251955106584","17.3737486297982",
"Uzbekistan","927","General government investment (gross fixed capital formation)","IGOV","Percent of GDP","rpppgdp","Value","5.00395176919154","4.05810290772179","6.09879368843613","6.57321570411899","5.90580339697426","5.7539807283024","5.06809978169776","6.24881958472921","4.47769866485676","3.48018377091273","3.13556050284364","2.46010157635838","2.21935997175012","2.05231641625955","2.48898206586119","2.11831437853763","2.12252859411398","1.97562645605317","2.13182759956203","1.96198644062375","2.1887376003797","2.19428180572279","2.4197416021851","3.45733458751688","4.94782820055876",
