EAA_muti,2.5,2.5,2.5,2.5,2.5
EAA_nui,0.75,0.75,0.75,0.75,0.75
EAA_mucg,0.5,0.5,0.5,0.5,0.5
EAA_mumcg,2.5,2.5,2.5,2.5,2.5
EAA_mutcg,2.5,2.5,2.5,2.5,2.5
EAA_nucg,0.8,0.8,0.8,0.8,0.8
EAA_muig,0.5,0.5,0.5,0.5,0.5
EAA_mumig,2.5,2.5,2.5,2.5,2.5
EAA_mutig,2.5,2.5,2.5,2.5,2.5
EAA_nuig,0.8,0.8,0.8,0.8,0.8
EAA_omega,0.25,0.25,0.25,0.25,0.25
EAA_phitb,0.1,0.1,0.1,0.1,0.1
EAA_pi4target,1.02,1.02,1.02,1.02,1.02
EAA_psin,0.28,0.28,0.28,0.28,0.28
EAA_rhocg,0.9,0.9,0.9,0.9,0.9
EAA_rhoig,0.9,0.9,0.9,0.9,0.9
EAA_rhorp,0.9,0.9,0.9,0.9,0.9
EAA_rhotauc,0.9,0.9,0.9,0.9,0.9
EAA_rhotaud,0.9,0.9,0.9,0.9,0.9
EAA_rhotauk,0.9,0.9,0.9,0.9,0.9
EAA_rhotaun,0.9,0.9,0.9,0.9,0.9
EAA_rhotauwf,0.9,0.9,0.9,0.9,0.9
EAA_rhotauwh,0.9,0.9,0.9,0.9,0.9
EAA_rhotr,0.9,0.9,0.9,0.9,0.9
EAA_rhowcst,0.9,0.9,0.9,0.9,0.9
EAA_rhozcon,0.9,0.9,0.9,0.9,0.9
EAA_rhozinv,0.9,0.9,0.9,0.9,0.9
EAA_rhozn,0.9,0.9,0.9,0.9,0.9
EAA_rhozt,0.9,0.9,0.9,0.9,0.9
EAA_sigma,1,1,1,1,1
EAA_size,0.00515,0.00515,0.00515,0.00515,0.00515
EAA_xin,0.92,0.92,0.92,0.92,0.92
EAA_xih,0.92,0.92,0.92,0.92,0.92
EAA_xii,0.75,0.75,0.75,0.75,0.75
EAA_xij,0.75,0.75,0.75,0.75,0.75
EAA_xix,0.75,0.75,0.75,0.75,0.75
EAA_zeta,2,2,2,2,2
EAA_eta,4.33,4.33,4.33,4.33,4.33
EAA_etai,4.33,4.33,4.33,4.33,4.33
EAA_etaj,4.33,4.33,4.33,4.33,4.33
EAA_thetan,3,3,3,3,3
EAA_thetat,6,6,6,6,6
EAA_upsilont,1.2,1.2,1.2,1.2,1.2
EAA_upsilontr,0.66666666,0.66666666,0.66666666,0.66666666,0.66666666
EABEAA_imcy,0.010949,0.010949,0.010949,0.010949,0.010949
EABEAC_imcy,0.002307,0.002307,0.002307,0.002307,0.002307
EABEAD_imcy,0.003319,0.003319,0.003319,0.003319,0.003319
EABEAE_imcy,0.000536,0.000536,0.000536,0.000536,0.000536
EABEAF_imcy,0.005053,0.005053,0.005053,0.005053,0.005053
EABEAG_imcy,0.00078,0.00078,0.00078,0.00078,0.00078
EABEAH_imcy,0.001311,0.001311,0.001311,0.001311,0.001311
EABEAI_imcy,0.012225,0.012225,0.012225,0.012225,0.012225
EABEAJ_imcy,0.004248,0.004248,0.004248,0.004248,0.004248
EABEAK_imcy,0.000791,0.000791,0.000791,0.000791,0.000791
EABEAL_imcy,0.052306,0.052306,0.052306,0.052306,0.052306
EABRW_imcy,0.07752,0.07752,0.07752,0.07752,0.07752
EABEAA_imiy,0.004649,0.004649,0.004649,0.004649,0.004649
EABEAC_imiy,0.001106,0.001106,0.001106,0.001106,0.001106
EABEAD_imiy,0.001596,0.001596,0.001596,0.001596,0.001596
EABEAE_imiy,0.00052,0.00052,0.00052,0.00052,0.00052
EABEAF_imiy,0.002539,0.002539,0.002539,0.002539,0.002539
EABEAG_imiy,0.000132,0.000132,0.000132,0.000132,0.000132
EABEAH_imiy,0.001297,0.001297,0.001297,0.001297,0.001297
EABEAI_imiy,0.005448,0.005448,0.005448,0.005448,0.005448
EABEAJ_imiy,0.001789,0.001789,0.001789,0.001789,0.001789
EABEAK_imiy,0.000364,0.000364,0.000364,0.000364,0.000364
EABEAL_imiy,0.033634,0.033634,0.033634,0.033634,0.033634
EABRW_imiy,0.035417,0.035417,0.035417,0.035417,0.035417
EABEAA_imcgy,0.001949,0.001949,0.001949,0.001949,0.001949
EABEAC_imcgy,0.000518,0.000518,0.000518,0.000518,0.000518
EABEAD_imcgy,0.000446,0.000446,0.000446,0.000446,0.000446
EABEAE_imcgy,0.00011,0.00011,0.00011,0.00011,0.00011
EABEAF_imcgy,0.000756,0.000756,0.000756,0.000756,0.000756
EABEAG_imcgy,5.10E-05,5.10E-05,5.10E-05,5.10E-05,5.10E-05
EABEAH_imcgy,0.000427,0.000427,0.000427,0.000427,0.000427
EABEAI_imcgy,0.001255,0.001255,0.001255,0.001255,0.001255
EABEAJ_imcgy,0.000677,0.000677,0.000677,0.000677,0.000677
EABEAK_imcgy,8.40E-05,8.40E-05,8.40E-05,8.40E-05,8.40E-05
EABEAL_imcgy,0.007395,0.007395,0.007395,0.007395,0.007395
EABRW_imcgy,0.014662,0.014662,0.014662,0.014662,0.014662
EABEAA_imigy,0.000517,0.000517,0.000517,0.000517,0.000517
EABEAC_imigy,0.000123,0.000123,0.000123,0.000123,0.000123
EABEAD_imigy,0.000177,0.000177,0.000177,0.000177,0.000177
EABEAE_imigy,5.80E-05,5.80E-05,5.80E-05,5.80E-05,5.80E-05
EABEAF_imigy,0.000282,0.000282,0.000282,0.000282,0.000282
EABEAG_imigy,1.50E-05,1.50E-05,1.50E-05,1.50E-05,1.50E-05
EABEAH_imigy,0.000144,0.000144,0.000144,0.000144,0.000144
EABEAI_imigy,0.000605,0.000605,0.000605,0.000605,0.000605
EABEAJ_imigy,0.000199,0.000199,0.000199,0.000199,0.000199
EABEAK_imigy,4.00E-05,4.00E-05,4.00E-05,4.00E-05,4.00E-05
EABEAL_imigy,0.003737,0.003737,0.003737,0.003737,0.003737
EABRW_imigy,0.003935,0.003935,0.003935,0.003935,0.003935
EAB_epsilonm,-0.75,-0.75,-0.75,-0.75,-0.75
EAB_imcy,0.177609,0.177609,0.177609,0.177609,0.177609
EAB_imiy,0.091656,0.091656,0.091656,0.091656,0.091656
EAB_imcgy,0.03042,0.03042,0.03042,0.03042,0.03042
EAB_imigy,0.010184,0.010184,0.010184,0.010184,0.010184
EAB_iy,0.2,0.2,0.2,0.2,0.2
EAB_vi,2.38,2.38,2.38,2.38,2.38
EAB_alphan,0.3,0.3,0.3,0.3,0.3
EAB_alphat,0.3,0.3,0.3,0.3,0.3
EAB_beta,0.99263754,0.99263754,0.99263754,0.99263754,0.99263754
EAB_bfytarget,-0.15,-0.15,-0.15,-0.15,-0.15
EAB_bhytarget,0,0,0,0,0
EAB_bytarget,2.4,2.4,2.4,2.4,2.4
EAB_chin,0.5,0.5,0.5,0.5,0.5
EAB_chih,0.5,0.5,0.5,0.5,0.5
EAB_chii,0.75,0.75,0.75,0.75,0.75
EAB_chij,0.75,0.75,0.75,0.75,0.75
EAB_chix,0.5,0.5,0.5,0.5,0.5
EAB_delta,0.025,0.025,0.025,0.025,0.025
EAB_gammab1,0.2,0.2,0.2,0.2,0.2
EAB_gammai1,1,1,1,1,1
EAB_gammaimc1,1,1,1,1,1
EAB_gammaimi1,1,1,1,1,1
EAB_gammaimcg1,1,1,1,1,1
EAB_gammaimig1,1,1,1,1,1
EAB_gammau2,1,1,1,1,1
EAB_kappa,0.7,0.7,0.7,0.7,0.7
EAB_muc,0.5,0.5,0.5,0.5,0.5
EAB_mumc,2.5,2.5,2.5,2.5,2.5
EAB_mutc,2.5,2.5,2.5,2.5,2.5
EAB_nuc,0.45,0.45,0.45,0.45,0.45
EAB_mui,0.5,0.5,0.5,0.5,0.5
EAB_mumi,2.5,2.5,2.5,2.5,2.5
EAB_muti,2.5,2.5,2.5,2.5,2.5
EAB_nui,0.75,0.75,0.75,0.75,0.75
EAB_mucg,0.5,0.5,0.5,0.5,0.5
EAB_mumcg,2.5,2.5,2.5,2.5,2.5
EAB_mutcg,2.5,2.5,2.5,2.5,2.5
EAB_nucg,0.8,0.8,0.8,0.8,0.8
EAB_muig,0.5,0.5,0.5,0.5,0.5
EAB_mumig,2.5,2.5,2.5,2.5,2.5
EAB_mutig,2.5,2.5,2.5,2.5,2.5
EAB_nuig,0.8,0.8,0.8,0.8,0.8
EAB_omega,0.25,0.25,0.25,0.25,0.25
EAB_phitb,0.1,0.1,0.1,0.1,0.1
EAB_pi4target,1.02,1.02,1.02,1.02,1.02
EAB_psin,0.28,0.28,0.28,0.28,0.28
