variable,year,value
ATDE_imcy,average,0.051258
ATDE_imigy,1995,0.000968
ATDE_imigy,1996,0.000983
ATDE_imigy,1997,0.000927
ATDE_imigy,1998,0.000956
ATDE_imigy,1999,0.000950
ATDE_imigy,2000,0.000963
ATDE_imigy,2001,0.001037
ATDE_imigy,2002,0.001020
ATDE_imigy,2003,0.001096
ATDE_imigy,2004,0.001072
ATDE_imigy,2005,0.001093
ATDE_imigy,2006,0.001160
ATDE_imigy,2007,0.001202
ATDE_imigy,2008,0.001182
ATDE_imigy,2009,0.001089
ATDE_imigy,2010,0.001194
ATDE_imigy,2011,0.001224
ATDE_imigy,2012,0.001232
ATDE_imigy,2013,0.001271
ATDE_imigy,2014,0.001271
ATDE_imigy,2015,0.001205
ATDE_imigy,2016,0.001245
ATDE_imigy,2017,0.001270
ATDE_imigy,2018,0.001374
ATDE_imigy,2019,0.001363
ATDE_imigy,2020,0.001356
ATDE_imigy,average,0.001182
ATDE_imiy,1995,0.040613
ATDE_imiy,1996,0.040053
ATDE_imiy,1997,0.036711
ATDE_imiy,1998,0.037300
ATDE_imiy,1999,0.036473
ATDE_imiy,2000,0.039368
ATDE_imiy,2001,0.039216
ATDE_imiy,2002,0.034888
ATDE_imiy,2003,0.036681
ATDE_imiy,2004,0.035602
ATDE_imiy,2005,0.033849
ATDE_imiy,2006,0.035741
ATDE_imiy,2007,0.037731
ATDE_imiy,2008,0.036536
ATDE_imiy,2009,0.032216
ATDE_imiy,2010,0.034874
ATDE_imiy,2011,0.036045
ATDE_imiy,2012,0.036537
ATDE_imiy,2013,0.036862
ATDE_imiy,2014,0.035700
ATDE_imiy,2015,0.034933
ATDE_imiy,2016,0.037259
ATDE_imiy,2017,0.039331
ATDE_imiy,2018,0.037657
ATDE_imiy,2019,0.038059
ATDE_imiy,2020,0.036994
ATDE_imiy,average,0.036676
ATES_imcgy,1995,0.000362
ATES_imcgy,1996,0.000372
ATES_imcgy,1997,0.000430
ATES_imcgy,1998,0.000448
ATES_imcgy,1999,0.000450
ATES_imcgy,2000,0.000446
ATES_imcgy,2001,0.000444
ATES_imcgy,2002,0.000517
ATES_imcgy,2003,0.000495
ATES_imcgy,2004,0.000460
ATES_imcgy,2005,0.000449
ATES_imcgy,2006,0.000449
ATES_imcgy,2007,0.000459
ATES_imcgy,2008,0.000531
ATES_imcgy,2009,0.000542
ATES_imcgy,2010,0.000551
ATES_imcgy,2011,0.000564
ATES_imcgy,2012,0.000407
ATES_imcgy,2013,0.000423
ATES_imcgy,2014,0.000425
ATES_imcgy,2015,0.000408
ATES_imcgy,2016,0.000419
ATES_imcgy,2017,0.000407
ATES_imcgy,2018,0.000439
ATES_imcgy,2019,0.000507
ATES_imcgy,2020,0.000447
ATES_imcgy,average,0.000459
ATES_imcy,1995,0.002383
ATES_imcy,1996,0.002585
ATES_imcy,1997,0.003096
ATES_imcy,1998,0.003071
ATES_imcy,1999,0.003145
ATES_imcy,2000,0.003058
ATES_imcy,2001,0.003096
ATES_imcy,2002,0.003207
ATES_imcy,2003,0.003622
ATES_imcy,2004,0.003284
ATES_imcy,2005,0.003282
ATES_imcy,2006,0.003300
ATES_imcy,2007,0.003111
ATES_imcy,2008,0.003075
ATES_imcy,2009,0.003422
ATES_imcy,2010,0.003402
ATES_imcy,2011,0.003577
ATES_imcy,2012,0.003400
ATES_imcy,2013,0.003435
ATES_imcy,2014,0.003470
ATES_imcy,2015,0.003467
ATES_imcy,2016,0.003788
ATES_imcy,2017,0.003647
ATES_imcy,2018,0.003796
ATES_imcy,2019,0.003809
