,tby
RA,0.2958454810963246
AT,0.05900482732476919
BE,0.09776035448618436
ES,0.014915850732935498
FI,0.05230957291158611
FR,0.0024733397043493754
GR,-0.04660287052749462
IT,0.022237640819777527
NL,0.11301210581969712
PT,-0.024220059849754172
DE,0.062316105050050224
RU,0.059498518208491336
RW,-0.005445868458610392
US,-0.030757984117423295
