,RA,AT,BE,ES,FI,FR,GR,IT,NL,PT,DE,RU,RW,US
public_consumption,0.1731991193640854,0.21361257568530348,0.24575353359365398,0.19146786605927812,0.24829292545209602,0.2456594423157156,0.20496618417947157,0.19754093336359402,0.2647903315426899,0.19287241412394732,0.21099530924001741,0.2297006499471412,0.16928367432534114,0.15078634514000228
private_consumption,0.4366285033323109,0.5193339301518224,0.4894204924751945,0.5530182137039478,0.49236565209883276,0.522152043050406,0.6276235415350091,0.5717914886452105,0.4701768356267845,0.5976640637539651,0.5359041760390226,0.4979818475191152,0.5459363841190803,0.6402818758378698
private_investment,0.19679601610016786,0.21597581151138853,0.2041295494872005,0.18633016213767842,0.1913013267597168,0.17588680890228103,0.12910789042307105,0.16406279687082076,0.16835078557523006,0.16703369153479494,0.19054028282298294,0.18303080462519755,0.1947649709225092,0.16883660447138965
public_investment,0.038290856575589505,0.03114870948060603,0.02260267982077617,0.03363088146649288,0.041301411755862355,0.03847213731614624,0.04242910455038237,0.02721849092968094,0.03924823003008827,0.03315145616928545,0.02351670168094993,0.03987760550934646,0.07765258099560848,0.041204499357997686
