,RA,AT,BE,ES,FI,FR,GR,IT,NL,PT,DE,RU,RW,US
consumption,0.2442920444649696,0.22851538743936553,0.2126753337066439,0.16203447641455002,0.26861726299311783,0.21351901123310757,0.19273297403781717,0.18743216788741415,0.23718873574270605,0.20361470742470306,0.19205981427357635,0.24048980542250598,0.16236131276613125,0.0660662536965937
income,0.1893410893458406,0.23881288751764188,0.3436520919386297,0.192823535094534,0.3384852675515461,0.21034480176024936,0.18139358140917647,0.38135316550950277,0.17533384605270602,0.17946416704797963,0.21456609008675162,0.3267065295016476,0.15973399601799368,0.20732022152034885
SSC_firms,0.1464532868400634,0.17204796345069148,0.22474480853078857,0.2265190043715732,0.2221163211192436,0.29246716999217726,0.18086733478302514,0.3089365380217993,0.10979977522942062,0.13248699938584535,0.15528120719960045,0.16063057437814876,0.10009214873646599,0.07228545772230378
SSC_households,0.0796701931940712,0.14815493064899596,0.11203396370361506,0.04851632899888732,0.06677384685275987,0.11088569836722344,0.21931228934050362,0.0830906798960854,0.1780967280203541,0.10031387754959374,0.14269109460008392,0.07892751315809646,0.07549342977745048,0.0626014636311022
capital,0.06098280839786116,0.054406148044858556,0.08003540880410422,0.05530336972045469,0.07432271445732597,0.06617726225722449,0.044659433474922676,0.05314745678918842,0.07697568340662089,0.0768359011277264,0.0412528631453085,0.06374295047603411,0.08312372320595118,0.05169814249179477
