,size
RA,0.00920333181751363
AT,0.005630016697182961
BE,0.0069387444454104665
ES,0.019705142877857136
FI,0.0034821952838450716
FR,0.03876045059505483
GR,0.0038605098138274224
IT,0.03121035350009956
NL,0.011553252659138062
PT,0.0034158853323906792
DE,0.05128421106483207
RU,0.025803705186275123
RW,0.5333146776813641
US,0.2558375230452092
