country,variable,year,value
AT,debt,average,2.914925856168963
AT,private_consumption,average,0.5193339301518224
AT,private_investment,average,0.2159758115113885
AT,public_consumption,average,0.2136125756853034
AT,public_investment,average,0.031148709480606
AT,size,average,0.0056300166971829
AT,tax_SSC_firms,average,0.1720479634506914
AT,tax_SSC_households,average,0.1481549306489959
AT,tax_capital,average,0.0544061480448585
AT,tax_consumption,average,0.2285153874393655
AT,tax_income,average,0.2388128875176418
AT,tby,average,0.0590048273247691
BE,debt,average,4.23266415838788
BE,private_consumption,average,0.4894204924751945
BE,private_investment,average,0.2041295494872005
BE,public_consumption,average,0.2457535335936539
BE,public_investment,average,0.0226026798207761
BE,size,average,0.0069387444454104
BE,tax_SSC_firms,average,0.2247448085307885
BE,tax_SSC_households,average,0.112033963703615
BE,tax_capital,average,0.0800354088041042
BE,tax_consumption,average,0.2126753337066439
BE,tax_income,average,0.3436520919386297
BE,tby,average,0.0977603544861843
DE,debt,average,2.6180430826602605
DE,private_consumption,average,0.5359041760390226
DE,private_investment,average,0.1905402828229829
DE,public_consumption,average,0.2109953092400174
DE,public_investment,average,0.0235167016809499
DE,size,average,0.051284211064832
DE,tax_SSC_firms,average,0.1552812071996004
DE,tax_SSC_households,average,0.1426910946000839
DE,tax_capital,average,0.0412528631453085
DE,tax_consumption,average,0.1920598142735763
DE,tax_income,average,0.2145660900867516
DE,tby,average,0.0623161050500502
ES,debt,average,2.809652215027863
ES,private_consumption,average,0.5530182137039478
ES,private_investment,average,0.1863301621376784
ES,public_consumption,average,0.1914678660592781
ES,public_investment,average,0.0336308814664928
ES,size,average,0.0197051428778571
ES,tax_SSC_firms,average,0.2265190043715732
ES,tax_SSC_households,average,0.0485163289988873
ES,tax_capital,average,0.0553033697204546
ES,tax_consumption,average,0.16203447641455
ES,tax_income,average,0.192823535094534
ES,tby,average,0.0149158507329354
FI,debt,average,2.063943262250671
FI,private_consumption,average,0.4923656520988327
FI,private_investment,average,0.1913013267597168
FI,public_consumption,average,0.248292925452096
FI,public_investment,average,0.0413014117558623
FI,size,average,0.003482195283845
FI,tax_SSC_firms,average,0.2221163211192436
FI,tax_SSC_households,average,0.0667738468527598
FI,tax_capital,average,0.0743227144573259
FI,tax_consumption,average,0.2686172629931178
FI,tax_income,average,0.3384852675515461
FI,tby,average,0.0523095729115861
FR,debt,average,3.1210786647254753
FR,private_consumption,average,0.522152043050406
FR,private_investment,average,0.175886808902281
FR,public_consumption,average,0.2456594423157156
FR,public_investment,average,0.0384721373161462
FR,size,average,0.0387604505950548
FR,tax_SSC_firms,average,0.2924671699921772
FR,tax_SSC_households,average,0.1108856983672234
FR,tax_capital,average,0.0661772622572244
FR,tax_consumption,average,0.2135190112331075
FR,tax_income,average,0.2103448017602493
FR,tby,average,0.0024733397043493
GR,debt,average,5.459011746164862
GR,private_consumption,average,0.6276235415350091
GR,private_investment,average,0.129107890423071
GR,public_consumption,average,0.2049661841794715
GR,public_investment,average,0.0424291045503823
GR,size,average,0.0038605098138274
GR,tax_SSC_firms,average,0.1808673347830251
GR,tax_SSC_households,average,0.2193122893405036
GR,tax_capital,average,0.0446594334749226
GR,tax_consumption,average,0.1927329740378171
GR,tax_income,average,0.1813935814091764
GR,tby,average,-0.0466028705274946
IT,debt,average,4.780709321394262
IT,private_consumption,average,0.5717914886452105
IT,private_investment,average,0.1640627968708207
IT,public_consumption,average,0.197540933363594
IT,public_investment,average,0.0272184909296809
IT,size,average,0.0312103535000995
IT,tax_SSC_firms,average,0.3089365380217993
IT,tax_SSC_households,average,0.0830906798960854
IT,tax_capital,average,0.0531474567891884
IT,tax_consumption,average,0.1874321678874141
IT,tax_income,average,0.3813531655095027
IT,tby,average,0.0222376408197775
NL,debt,average,2.2808674307838936
NL,private_consumption,average,0.4701768356267845
NL,private_investment,average,0.16835078557523
NL,public_consumption,average,0.2647903315426899
NL,public_investment,average,0.0392482300300882
NL,size,average,0.011553252659138
NL,tax_SSC_firms,average,0.1097997752294206
NL,tax_SSC_households,average,0.1780967280203541
NL,tax_capital,average,0.0769756834066208
NL,tax_consumption,average,0.237188735742706
NL,tax_income,average,0.175333846052706
NL,tby,average,0.1130121058196971
PT,debt,average,3.615097767810214
PT,private_consumption,average,0.5976640637539651
PT,private_investment,average,0.1670336915347949
PT,public_consumption,average,0.1928724141239473
PT,public_investment,average,0.0331514561692854
PT,size,average,0.0034158853323906
PT,tax_SSC_firms,average,0.1324869993858453
PT,tax_SSC_households,average,0.1003138775495937
PT,tax_capital,average,0.0768359011277264
PT,tax_consumption,average,0.203614707424703
PT,tax_income,average,0.1794641670479796
PT,tby,average,-0.0242200598497541
RA,debt,average,1.8879731159366184
RA,private_consumption,average,0.4366285033323109
RA,private_investment,average,0.1967960161001678
RA,public_consumption,average,0.1731991193640854
RA,public_investment,average,0.0382908565755895
RA,size,average,0.0092033318175136
RA,tax_SSC_firms,average,0.1464532868400634
RA,tax_SSC_households,average,0.0796701931940712
RA,tax_capital,average,0.0609828083978611
RA,tax_consumption,average,0.2442920444649696
RA,tax_income,average,0.1893410893458406
RA,tby,average,0.2958454810963246
RU,debt,average,1.654353592240419
RU,private_consumption,average,0.4979818475191152
RU,private_investment,average,0.1830308046251975
RU,public_consumption,average,0.2297006499471412
RU,public_investment,average,0.0398776055093464
RU,size,average,0.0258037051862751
RU,tax_SSC_firms,average,0.1606305743781487
RU,tax_SSC_households,average,0.0789275131580964
RU,tax_capital,average,0.0637429504760341
RU,tax_consumption,average,0.2404898054225059
RU,tax_income,average,0.3267065295016476
RU,tby,average,0.0594985182084913
RW,debt,average,2.877235539508178
RW,private_consumption,average,0.5459363841190803
RW,private_investment,average,0.1947649709225092
RW,public_consumption,average,0.1692836743253411
RW,public_investment,average,0.0776525809956084
RW,size,average,0.5333146776813641
RW,tax_SSC_firms,average,0.1000921487364659
RW,tax_SSC_households,average,0.0754934297774504
RW,tax_capital,average,0.0831237232059511
RW,tax_consumption,average,0.1623613127661312
RW,tax_income,average,0.1597339960179936
RW,tby,average,-0.0054458684586103
US,debt,average,3.332823639521247
US,private_consumption,average,0.6402818758378698
US,private_investment,average,0.1688366044713896
US,public_consumption,average,0.1507863451400022
US,public_investment,average,0.0412044993579976
US,size,average,0.2558375230452092
US,tax_SSC_firms,average,0.0722854577223037
US,tax_SSC_households,average,0.0626014636311022
US,tax_capital,average,0.0516981424917947
US,tax_consumption,average,0.0660662536965937
US,tax_income,average,0.2073202215203488
US,tby,average,-0.0307579841174232
