,,,TradeMatrix_calibrated_int,,,,,,,,,,,,,,,,OECD,,,,,,,,,,,
EAE,5.90E-05,5.90E-05,5.90E-05,6.00E-05,,6.10E-05,,5.90E-05,6.10E-05,6.00E-05,5.90E-05,5.60E-05,4.20E-05,3.50E-05,,EAE,0.0004,0.0001,0.0002,0.0001,0,0.0001,0.0001,0.0001,0.0001,0.0003,0,0.0001,0.0001,0
EAF,0.000643,0.000643,0.000644,0.00065,0.000641,,0.000641,,0.000656,0.000646,0.000641,0.000602,0.000454,0.000377,,EAF,0.0021,0.0008,0.0068,0.0022,0.0012,0,0.0017,0.0015,0.0015,0.0019,0.0018,0.0012,0.0006,0.0002
EAG,5.30E-05,5.30E-05,5.30E-05,5.30E-05,5.30E-05,5.40E-05,,5.30E-05,,5.30E-05,5.30E-05,4.90E-05,3.70E-05,3.10E-05,,EAG,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0.0001,0.0001,0,0.0001,0.0001,0
EAH,7.60E-05,7.60E-05,7.60E-05,7.70E-05,7.50E-05,7.80E-05,7.50E-05,,7.70E-05,,7.50E-05,7.10E-05,5.30E-05,4.40E-05,,EAH,0.0007,0.0004,0.0022,0.001,0.0015,0.0009,0.0008,0,0.0009,0.0011,0.001,0.0011,0.0004,0.0002
EAI,0.000484,0.000484,0.000484,0.000489,0.000483,0.000498,0.000483,0.000483,,0.000486,,0.000453,0.000342,0.000284,,EAI,0.0017,0.0013,0.002,0.0011,0.0008,0.0013,0.0019,0.001,0,0.0007,0.001,0.0008,0.0004,0.0001
EAJ,0.000194,0.000194,0.000194,0.000196,0.000194,0.0002,0.000194,0.000194,0.000198,,0.000194,,0.000137,0.000114,,EAJ,0.0007,0.0007,0.0053,0.0006,0.0015,0.0008,0.0007,0.0017,0.0005,0,0.0008,0.0012,0.0004,0.0001
EAK,5.40E-05,5.40E-05,5.40E-05,5.50E-05,5.40E-05,5.60E-05,5.40E-05,5.40E-05,5.50E-05,5.50E-05,,5.10E-05,,3.20E-05,,EAK,0.0001,0.0001,0.0003,0.0006,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0,0.0001,0,0
EAL,0.000849,0.000849,0.00085,0.000859,0.000847,0.000874,0.000847,0.000848,0.000867,0.000853,0.000847,,0.0006,,,EAL,0.0047,0.0074,0.0044,0.0022,0.0036,0.0029,0.0032,0.002,0.0018,0.0043,0.0021,0,0.0011,0.0003
RW,,0.011519,0.011533,0.011656,0.011496,0.011859,0.011492,0.011506,0.011758,0.011578,0.011493,0.010783,,0.006753,,RW,0.0186,0.0147,0.0161,0.0104,0.0219,0.0105,0.0139,0.0115,0.0086,0.0181,0.0078,0.0115,0,0.007
US,0.00457,,0.004576,0.004624,0.004561,0.004705,0.004559,0.004565,0.004665,0.004593,0.00456,0.004278,0.003227,,,US,0.0017,0.0021,0.0038,0.0025,0.003,0.0025,0.0011,0.0071,0.0011,0.005,0.0006,0.0022,0.0026,0
Total,0.01904,0.01904,0.01904,0.01904,0.01904,0.01904,0.01904,0.01904,0.01904,0.01904,0.01904,0.01904,0.01904,0.01904,,Total,0.0347,0.0305,0.0446,0.0218,0.0369,0.0224,0.0259,0.0277,0.0173,0.0364,0.0216,0.0208,0.0065,0.0081
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imiy,,,,,,,,,,,,,,,,imiy,,,,,,,,,,,,,,
,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US
EAA,,0.000372,,0.000377,0.000372,0.000383,0.000371,0.000372,0.00038,0.000374,0.000371,0.000319,0.000582,0.000208,,EAA,0,0.0046,0.0028,0.0008,0.0036,0.0012,0.0004,0.0023,0.0017,0.0011,0.0005,0.0021,0.0007,0.0001
EAB,0.000366,,0.000366,,0.000365,0.000376,0.000365,0.000365,0.000373,0.000367,0.000365,0.000313,0.000572,0.000205,,EAB,0.0031,0,0.0009,0.0005,0.0009,0.0007,0.0006,0.0006,0.0011,0.0008,0.0004,0.0031,0.0006,0.0002
EAC,0.000455,0.000455,,0.000461,,0.000469,0.000454,0.000455,0.000465,0.000458,0.000454,0.00039,0.000712,0.000255,,EAC,0.0022,0.0011,0,0.0009,0.0015,0.0029,0.0007,0.0039,0.001,0.0049,0.0011,0.0016,0.0006,0.0002
EAD,0.00121,0.00121,0.001212,,0.001208,,0.001207,0.001209,0.001235,0.001216,0.001207,0.001038,0.001893,0.000677,,EAD,0.0015,0.0016,0.0027,0,0.0011,0.0036,0.0009,0.0019,0.0018,0.0016,0.016,0.0017,0.001,0.0002
EAE,0.000224,0.000224,0.000225,0.000227,,0.000231,,0.000224,0.000229,0.000225,0.000224,0.000192,0.000351,0.000125,,EAE,0.0015,0.0005,0.0004,0.0003,0,0.0003,0.0001,0.0009,0.0002,0.0006,0.0002,0.0005,0.0004,0.0001
EAF,0.002428,0.002427,0.002431,0.002456,0.002423,,0.002422,,0.002478,0.00244,0.002422,0.002081,0.003797,0.001358,,EAF,0.0048,0.0025,0.013,0.006,0.0024,0,0.0026,0.015,0.0037,0.0033,0.0044,0.0042,0.0021,0.0006
EAG,0.0002,0.0002,0.0002,0.000202,0.000199,0.000206,,0.000199,,0.000201,0.000199,0.000171,0.000312,0.000112,,EAG,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0
EAH,0.000286,0.000286,0.000286,0.000289,0.000285,0.000294,0.000285,,0.000292,,0.000285,0.000245,0.000447,0.00016,,EAH,0.0011,0.0013,0.0019,0.0014,0.0022,0.0014,0.0003,0,0.0015,0.0028,0.0011,0.0017,0.0007,0.0003
EAI,0.001827,0.001827,0.001829,0.001849,0.001823,0.001881,0.001823,0.001825,,0.001836,,0.001566,0.002858,0.001022,,EAI,0.0059,0.0054,0.004,0.004,0.0025,0.0042,0.0048,0.0037,0,0.0017,0.0037,0.0031,0.0021,0.0006
EAJ,0.000733,0.000733,0.000734,0.000741,0.000731,0.000754,0.000731,0.000732,0.000748,,0.000731,,0.001146,0.00041,,EAJ,0.0014,0.0018,0.0102,0.0015,0.0025,0.0018,0.0012,0.0056,0.0016,0,0.002,0.0025,0.001,0.0003
EAK,0.000205,0.000205,0.000205,0.000207,0.000204,0.000211,0.000204,0.000205,0.000209,0.000206,,0.000176,,0.000115,,EAK,0.0002,0.0004,0.0006,0.0016,0.0003,0.0005,0.0001,0.0004,0.0002,0.0002,0,0.0003,0.0002,0
EAL,0.003207,0.003207,0.003211,0.003245,0.0032,0.003301,0.003199,0.003203,0.003273,0.003223,0.0032,,0.005015,,,EAL,0.0163,0.0336,0.0158,0.0081,0.0108,0.0094,0.0042,0.0111,0.0074,0.0112,0.008,0,0.006,0.002
RW,,0.043504,0.043559,0.044021,0.043419,0.044789,0.043404,0.043456,0.044407,0.043728,0.043407,0.037301,,0.02434,,RW,0.0403,0.0354,0.0387,0.0221,0.0411,0.023,0.0194,0.0516,0.0201,0.0332,0.0139,0.0341,0,0.0262
US,0.017261,,0.017281,0.017465,0.017226,0.017769,0.01722,0.017241,0.017618,0.017348,0.017221,0.014799,0.026995,,,US,0.0041,0.0032,0.0069,0.0023,0.0051,0.0042,0.002,0.0422,0.0018,0.0084,0.0015,0.0044,0.0096,0
Total,0.07191,0.07191,0.07191,0.07191,0.07191,0.07191,0.07191,0.07191,0.07191,0.07191,0.07191,0.07191,0.07191,0.07191,,Total,0.0826,0.0915,0.098,0.0496,0.0741,0.0533,0.0373,0.1393,0.0423,0.0699,0.0529,0.0594,0.0252,0.0308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imigy,,,,,,,,,,,,,,,,imigy,,,,,,,,,,,,,,
,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US
EAA,,4.10E-05,,4.20E-05,4.10E-05,4.30E-05,4.10E-05,4.10E-05,4.20E-05,4.20E-05,4.10E-05,3.50E-05,6.50E-05,2.30E-05,,EAA,0,0.0005,0.0003,0.0001,0.0004,0.0001,0,0.0003,0.0002,0.0001,0.0001,0.0002,0.0001,0
EAB,4.10E-05,,4.10E-05,,4.10E-05,4.20E-05,4.10E-05,4.10E-05,4.10E-05,4.10E-05,4.10E-05,3.50E-05,6.40E-05,2.30E-05,,EAB,0.0003,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0.0003,0.0001,0
EAC,5.10E-05,5.10E-05,,5.10E-05,,5.20E-05,5.00E-05,5.10E-05,5.20E-05,5.10E-05,5.00E-05,4.30E-05,7.90E-05,2.80E-05,,EAC,0.0002,0.0001,0,0.0001,0.0002,0.0003,0.0001,0.0004,0.0001,0.0005,0.0001,0.0002,0.0001,0
EAD,0.000134,0.000134,0.000135,,0.000134,,0.000134,0.000134,0.000137,0.000135,0.000134,0.000115,0.00021,7.50E-05,,EAD,0.0002,0.0002,0.0003,0,0.0001,0.0004,0.0001,0.0002,0.0002,0.0002,0.0018,0.0002,0.0001,0
EAE,2.50E-05,2.50E-05,2.50E-05,2.50E-05,,2.60E-05,,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.10E-05,3.90E-05,1.40E-05,,EAE,0.0002,0.0001,0,0,0,0,0,0.0001,0,0.0001,0,0.0001,0,0
EAF,0.00027,0.00027,0.00027,0.000273,0.000269,,0.000269,,0.000275,0.000271,0.000269,0.000231,0.000422,0.000151,,EAF,0.0005,0.0003,0.0014,0.0007,0.0003,0,0.0003,0.0017,0.0004,0.0004,0.0005,0.0005,0.0002,0.0001
EAG,2.20E-05,2.20E-05,2.20E-05,2.20E-05,2.20E-05,2.30E-05,,2.20E-05,,2.20E-05,2.20E-05,1.90E-05,3.50E-05,1.20E-05,,EAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAH,3.20E-05,3.20E-05,3.20E-05,3.20E-05,3.20E-05,3.30E-05,3.20E-05,,3.20E-05,,3.20E-05,2.70E-05,5.00E-05,1.80E-05,,EAH,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0,0,0.0002,0.0003,0.0001,0.0002,0.0001,0
EAI,0.000203,0.000203,0.000203,0.000205,0.000203,0.000209,0.000203,0.000203,,0.000204,,0.000174,0.000318,0.000114,,EAI,0.0007,0.0006,0.0004,0.0004,0.0003,0.0005,0.0005,0.0004,0,0.0002,0.0004,0.0003,0.0002,0.0001
EAJ,8.10E-05,8.10E-05,8.20E-05,8.20E-05,8.10E-05,8.40E-05,8.10E-05,8.10E-05,8.30E-05,,8.10E-05,,0.000127,4.60E-05,,EAJ,0.0002,0.0002,0.0011,0.0002,0.0003,0.0002,0.0001,0.0006,0.0002,0,0.0002,0.0003,0.0001,0
EAK,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,,2.00E-05,,1.30E-05,,EAK,0,0,0.0001,0.0002,0,0.0001,0,0,0,0,0,0,0,0
EAL,0.000356,0.000356,0.000357,0.000361,0.000356,0.000367,0.000355,0.000356,0.000364,0.000358,0.000356,,0.000557,,,EAL,0.0018,0.0037,0.0018,0.0009,0.0012,0.001,0.0005,0.0012,0.0008,0.0012,0.0009,0,0.0007,0.0002
RW,,0.004834,0.00484,0.004891,0.004824,0.004977,0.004823,0.004828,0.004934,0.004859,0.004823,0.004145,,0.002704,,RW,0.0045,0.0039,0.0043,0.0025,0.0046,0.0026,0.0022,0.0057,0.0022,0.0037,0.0015,0.0038,0,0.0029
US,0.001918,,0.00192,0.001941,0.001914,0.001974,0.001913,0.001916,0.001958,0.001928,0.001913,0.001644,0.002999,,,US,0.0005,0.0004,0.0008,0.0003,0.0006,0.0005,0.0002,0.0047,0.0002,0.0009,0.0002,0.0005,0.0011,0
Total,0.00799,0.00799,0.00799,0.00799,0.00799,0.00799,0.00799,0.00799,0.00799,0.00799,0.00799,0.00799,0.00799,0.00799,,Total,0.0092,0.0101,0.0108,0.0057,0.0083,0.006,0.0041,0.0154,0.0046,0.0077,0.0058,0.0066,0.0028,0.0033
