PARAMETER VALUES EVOLUTION
==========================

                 steady0    steady1a    steady1b      steady2       steady3      steady4       steady6      steady7  
GRRA_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.0395       0.0395   
GRRA_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02112      0.02112  
GRAT_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.01368      0.01368  
GRAT_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.01843      0.01843  
GRAT_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.01329      0.01329  
GRAT_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.0184       0.0184   
GRBE_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02973      0.02973  
GRBE_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02454      0.02454  
GRBE_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04745      0.04745  
GRBE_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.0246       0.0246   
GRES_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.0418       0.0418   
GRES_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03462      0.03462  
GRES_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03498      0.03498  
GRES_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03473      0.03473  
GRFR_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.06332      0.06332  
GRFR_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05638      0.05638  
GRFR_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.07694      0.07694  
GRFR_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05638      0.05638  
GRIT_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1362       0.1362   
GRIT_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1798       0.1798   
GRIT_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1457       0.1457   
GRIT_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1798       0.1798   
GRNL_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03516      0.03516  
GRNL_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02662      0.02662  
GRNL_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02697      0.02697  
GRNL_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02658      0.02658  
GRPT_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.003487     0.003487 
GRPT_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.0025       0.0025   
GRPT_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.002252     0.002252 
GRPT_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.002608     0.002608 
GRDE_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1192       0.1192   
GRDE_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1418       0.1418   
GRDE_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1504       0.1504   
GRDE_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1417       0.1417   
GRRU_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.08295      0.08295  
GRRU_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.07209      0.07209  
GRRU_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.07007      0.07007  
GRRU_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.072        0.072    
GRRW_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3869       0.3869   
GRRW_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.333        0.333    
GRRW_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3329       0.3329   
GRRW_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.333        0.333    
GRUS_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05647      0.05647  
GRUS_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.0749       0.0749   
GRUS_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05175      0.05175  
GRUS_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.07486      0.07486  
ITRA_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05267      0.05267  
ITRA_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05142      0.05142  
ITRA_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.07299      0.07299  
ITRA_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05137      0.05137  
ITAT_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03114      0.03114  
ITAT_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03626      0.03626  
ITAT_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02703      0.02703  
ITAT_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03656      0.03656  
ITBE_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03451      0.03451  
ITBE_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03544      0.03544  
ITBE_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05008      0.05008  
ITBE_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.0357       0.0357   
ITES_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05911      0.05911  
ITES_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04862      0.04862  
ITES_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.042        0.042    
ITES_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04883      0.04883  
ITFI_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.004541     0.004541 
ITFI_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.009159     0.009159 
ITFI_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.005485     0.005485 
ITFI_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.009235     0.009235 
ITGR_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.00957      0.00957  
ITGR_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.00356      0.00356  
ITGR_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.005201     0.005201 
ITGR_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.003732     0.003732 
ITNL_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03262      0.03262  
ITNL_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03316      0.03316  
ITNL_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02981      0.02981  
ITNL_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03323      0.03323  
ITPT_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.006133     0.006133 
ITPT_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.004924     0.004924 
ITPT_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.004586     0.004586 
ITPT_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.005012     0.005012 
ITDE_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1495       0.1495   
ITDE_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.219        0.219    
ITDE_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1373       0.1373   
ITDE_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.2192       0.2192   
ITRU_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.07413      0.07413  
ITRU_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.08392      0.08392  
ITRU_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05916      0.05916  
ITRU_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.084        0.084    
ITRW_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.387        0.387    
ITRW_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3171       0.3171   
ITRW_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3933       0.3933   
ITRW_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3168       0.3168   
ITUS_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04867      0.04867  
ITUS_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04902      0.04902  
ITUS_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.07253      0.07253  
ITUS_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04878      0.04878  
NLRA_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02956      0.02956  
NLRA_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03363      0.03363  
NLRA_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03443      0.03443  
NLRA_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.0336       0.0336   
NLAT_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.01739      0.01739  
NLAT_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.014        0.014    
NLAT_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.01495      0.01495  
NLAT_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.01404      0.01404  
NLBE_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.101        0.101    
NLBE_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.09593      0.09593  
NLBE_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1056       0.1056   
NLBE_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.09601      0.09601  
NLES_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.0316       0.0316   
NLES_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02609      0.02609  
NLES_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02391      0.02391  
NLES_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02621      0.02621  
NLFI_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.006342     0.006342 
NLFI_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.01028      0.01028  
NLFI_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.009303     0.009303 
NLFI_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.01026      0.01026  
NLFR_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.07129      0.07129  
NLFR_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.06019      0.06019  
NLFR_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.06218      0.06218  
NLFR_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.06014      0.06014  
NLIT_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03318      0.03318  
NLIT_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03392      0.03392  
NLIT_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02739      0.02739  
NLIT_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03401      0.03401  
NLPT_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.006429     0.006429 
NLPT_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.003293     0.003293 
NLPT_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.004504     0.004504 
NLPT_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.003209     0.003209 
NLDE_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1533       0.1533   
NLDE_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.2          0.2      
NLDE_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1431       0.1431   
NLDE_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.2001       0.2001   
NLRU_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.06049      0.06049  
NLRU_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.08043      0.08043  
NLRU_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.06489      0.06489  
NLRU_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.08041      0.08041  
NLRW_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3748       0.3748   
NLRW_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3159       0.3159   
NLRW_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3568       0.3568   
NLRW_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3158       0.3158   
NLUS_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1109       0.1109   
NLUS_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1255       0.1255   
NLUS_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1515       0.1515   
NLUS_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1254       0.1254   
PTRA_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.01734      0.01734  
PTRA_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.01744      0.01744  
PTRA_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04073      0.04073  
PTRA_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.01742      0.01742  
PTAT_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.006102     0.006102 
PTAT_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.009985     0.009985 
PTAT_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.007425     0.007425 
PTAT_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.01002      0.01002  
PTBE_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02461      0.02461  
PTBE_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02451      0.02451  
PTBE_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04239      0.04239  
PTBE_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02468      0.02468  
PTES_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.323        0.323    
PTES_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.2945       0.2945   
PTES_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.255        0.255    
PTES_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.2945       0.2945   
PTFI_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.003279     0.003279 
PTFI_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.008026     0.008026 
PTFI_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.003891     0.003891 
PTFI_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.007945     0.007945 
PTFR_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.09537      0.09537  
PTFR_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.09261      0.09261  
PTFR_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.08883      0.08883  
PTFR_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.09257      0.09257  
PTGR_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.00194      0.00194  
PTGR_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.00097      0.00097  
PTGR_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.001662     0.001662 
PTGR_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.0009174    0.0009174
PTNL_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02844      0.02844  
PTNL_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03054      0.03054  
PTNL_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03057      0.03057  
PTNL_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03061      0.03061  
PTDE_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1163       0.1163   
PTDE_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1733       0.1733   
PTDE_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1131       0.1131   
PTDE_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1734       0.1734   
PTRU_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03539      0.03539  
PTRU_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04111      0.04111  
PTRU_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03747      0.03747  
PTRU_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04093      0.04093  
PTRW_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.2563       0.2563   
PTRW_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1844       0.1844   
PTRW_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.2873       0.2873   
PTRW_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1845       0.1845   
PTUS_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02953      0.02953  
PTUS_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03071      0.03071  
PTUS_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03392      0.03392  
PTUS_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03057      0.03057  
DERA_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04516      0.04516  
DERA_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04857      0.04857  
DERA_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.06997      0.06997  
DERA_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04876      0.04876  
DEAT_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05827      0.05827  
DEAT_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.06394      0.06394  
DEAT_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.0459       0.0459   
DEAT_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.06361      0.06361  
DEBE_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.041        0.041    
DEBE_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03799      0.03799  
DEBE_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04006      0.04006  
DEBE_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03808      0.03808  
DEES_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04332      0.04332  
DEES_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03266      0.03266  
DEES_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02936      0.02936  
DEES_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03251      0.03251  
DEFI_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.00755      0.00755  
DEFI_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.01127      0.01127  
DEFI_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.009186     0.009186 
DEFI_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.01129      0.01129  
DEFR_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.07165      0.07165  
DEFR_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.08581      0.08581  
DEFR_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.07277      0.07277  
DEFR_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.08572      0.08572  
DEGR_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.006774     0.006774 
DEGR_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.001731     0.001731 
DEGR_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.003094     0.003094 
DEGR_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.00192      0.00192  
DEIT_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.07431      0.07431  
DEIT_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.07244      0.07244  
DEIT_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05243      0.05243  
DEIT_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.07221      0.07221  
DEPT_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.007846     0.007846 
DEPT_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.006827     0.006827 
DEPT_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.00517      0.00517  
DEPT_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.006876     0.006876 
DERU_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1248       0.1248   
DERU_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1481       0.1481   
DERU_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1042       0.1042   
DERU_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1479       0.1479   
DERW_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3859       0.3859   
DERW_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3676       0.3676   
DERW_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3932       0.3932   
DERW_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3675       0.3675   
DEUS_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.06921      0.06921  
DEUS_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.08462      0.08462  
DEUS_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1234       0.1234   
DEUS_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.0844       0.0844   
RURA_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05837      0.05837  
RURA_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04943      0.04943  
RURA_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.067        0.067    
RURA_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04946      0.04946  
RUAT_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.042        0.042    
RUAT_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04178      0.04178  
RUAT_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04182      0.04182  
RUAT_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04161      0.04161  
RUBE_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03308      0.03308  
RUBE_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02883      0.02883  
RUBE_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04542      0.04542  
RUBE_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02894      0.02894  
RUES_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03382      0.03382  
RUES_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02499      0.02499  
RUES_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02821      0.02821  
RUES_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02503      0.02503  
RUFI_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02067      0.02067  
RUFI_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02851      0.02851  
RUFI_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02603      0.02603  
RUFI_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.02862      0.02862  
RUFR_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.0577       0.0577   
RUFR_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.06005      0.06005  
RUFR_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.06465      0.06465  
RUFR_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05996      0.05996  
RUGR_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.008569     0.008569 
RUGR_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.00324      0.00324  
RUGR_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.00543      0.00543  
RUGR_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.003271     0.003271 
RUIT_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.073        0.073    
RUIT_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.0837       0.0837   
RUIT_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.06116      0.06116  
RUIT_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.08363      0.08363  
RUNL_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04198      0.04198  
RUNL_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03256      0.03256  
RUNL_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.04112      0.04112  
RUNL_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.03261      0.03261  
RUDE_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.2169       0.2169   
RUDE_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.2876       0.2876   
RUDE_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.1955       0.1955   
RUDE_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.2876       0.2876   
RURW_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3558       0.3558   
RURW_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3007       0.3007   
RURW_numcg       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3486       0.3486   
RURW_numig       0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.3006       0.3006   
RUUS_numc        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05276      0.05276  
RUUS_numi        0.07692    0.07692     0.07692       0.07692       0.07692      0.07692       0.05527      0.05527  
