PARAMETER VALUES EVOLUTION
==========================

                 steady0    steady1a    steady1b      steady2       steady3      steady4       steady6      steady7  
RA_upsilontr     1          1           0.6667        0.6667        0.6667       0.6667        0.6667       0.6667   
RAAT_rerbar      1          1           1.021         1.021         1.01         1.013         1.226        1.226    
RABE_rerbar      1          1           1.024         1.024         1.01         1.017         1.181        1.181    
RAES_rerbar      1          1           0.994         0.994         0.9888       0.9896        1.149        1.149    
RAFI_rerbar      1          1           1.013         1.013         0.9981       0.9969        1.144        1.144    
RAFR_rerbar      1          1           1.001         1.001         0.9869       0.9858        1.127        1.127    
RAGR_rerbar      1          1           0.9689        0.9689        0.9632       0.9596        1.035        1.035    
RAIT_rerbar      1          1           1.006         1.006         1.001        1.005         1.226        1.226    
RANL_rerbar      1          1           0.9903        0.9903        0.9752       0.9732        1.033        1.033    
RAPT_rerbar      1          1           0.9845        0.9845        0.9802       0.9807        1.135        1.135    
RADE_rerbar      1          1           1.006         1.006         0.9963       1.002         1.172        1.172    
RARU_rerbar      1          1           1.008         1.008         0.9952       0.9946        1.125        1.125    
RARW_rerbar      1          1.035       0.9894        0.9894        0.9907       0.9743        0.9824       0.9824   
RAUS_rerbar      1          1.572       1.308         1.308         1.327        1.314         1.055        1.055    
RA_pibar         1          0.9806      0.9796        0.9796        0.9781       0.978         1.038        1.038    
RA_psinbar       0          0.3398      0.2848        0.2849        0.2568       0.2916        0.1521       0.1521   
RA_psitbar       0          0.5613      0.1126        0.1126        0.1008       0.1144        0.1734       0.1734   
RA_pybar         1          0.9732      0.9721        0.9721        0.9818       0.982         0.9278       0.9278   
RA_qbar          1          0.9806      0.9796        0.9796        0.9781       0.978         1.038        1.038    
RA_tybar         0.002      0.002       -0.0008699    -0.0008278    -0.000823    -0.0008229    0.07107      0.07107  
RA_ybar          0.3265     4.02        3.73          3.73          3.345        3.799         5.148        5.148    
RA_ynbar         0.1633     1.214       1.017         1.017         0.917        1.041         0.5431       0.5431   
RA_ytbar         0.1633     2.806       2.712         2.713         2.428        2.757         4.605        4.605    
AT_alphan        0.1        0.3         0.3           0.3           0.3          0.3           0.3          0.3      
AT_alphat        0.1        0.3         0.3           0.3           0.3          0.3           0.3          0.3      
AT_beta          0.99       0.99        0.9926        0.9926        0.9926       0.9926        0.9926       0.9926   
AT_bfytarget     0          0           -0.15         -0.15         -0.15        -0.15         -4.787       -4.787   
AT_bhytarget     0          0           0             0             0            0             0            0        
AT_bytarget      0          0           2.915         2.915         2.915        2.915         2.915        2.915    
AT_chin          0          0.5         0.5           0.5           0.5          0.5           0.5          0.5      
AT_chih          0          0.5         0.5           0.5           0.5          0.5           0.5          0.5      
AT_chii          0          0.75        0.75          0.75          0.75         0.75          0.75         0.75     
AT_chij          0          0.75        0.75          0.75          0.75         0.75          0.75         0.75     
AT_chix          0          0.5         0.5           0.5           0.5          0.5           0.5          0.5      
AT_delta         0.025      0.025       0.025         0.025         0.025        0.025         0.025        0.025    
AT_gammab1       0.2        0.2         0.2           0.2           0.2          0.2           0.01         0.01     
AT_gammai1       1          1           1             1             1            1             6            6        
AT_gammaimc1     1          1           1             1             1            1             2            2        
AT_gammaimi1     1          1           1             1             1            1             1            1        
AT_gammaimcg1    1          1           1             1             1            1             2            2        
AT_gammaimig1    1          1           1             1             1            1             1            1        
AT_gammau2       1          1           1             1             1            1             2000         2000     
AT_gammav1       0.02       0.0267      0.0267        0.02871       0.02871      0.02871       0.02871      0.02871  
AT_gammav2       0.1        0.1284      0.1284        0.1503        0.1503       0.1503        0.1503       0.1503   
AT_kappa         0          0.7         0.7           0.7           0.7          0.7           0.7          0.7      
AT_muc           1.001      0.5         0.5           0.5           0.5          0.5           0.5          0.5      
AT_mumc          1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
AT_mutc          1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
AT_nuc           0.5        0.65        0.65          0.65          0.65         0.65          0.65         0.65     
AT_nutc          0.5        0.2         0.2           0.2           0.2          0.2           0.4641       0.4641   
AT_mui           1.001      0.5         0.5           0.5           0.5          0.5           0.5          0.5      
AT_mumi          1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
AT_muti          1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
AT_nui           0.5        0.75        0.75          0.75          0.75         0.75          0.75         0.75     
AT_nuti          0.5        0.2         0.2           0.2           0.2          0.2           0.4153       0.4153   
AT_mucg          1.001      0.5         0.5           0.5           0.5          0.5           0.5          0.5      
AT_mumcg         1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
AT_mutcg         1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
AT_nucg          0.5        0.8         0.8           0.8           0.8          0.8           0.8          0.8      
AT_nutcg         0.5        0.5         0.5           0.5           0.5          0.5           0.8634       0.8634   
AT_muig          1.001      0.5         0.5           0.5           0.5          0.5           0.5          0.5      
AT_mumig         1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
