,description
cy,Private consumption
cgybar,Gov. consumption
iy,Private investment
igybar,Gov. investment 
imy,Imports (total)
tby,Trade balance
trybar,Gov. transfers
taucbar,Consumption tax rate
taunbar,Wage income tax rate
tauwhbar,SSC rate (employees)
tauwfbar,SSC rate (employers) 
taukbar,Capital income tax rate
bytarget,Gov. debt-to-GDP ratio
